participant_id,timestamp,consent,english_proficiency,video_index,video_id,video_key,legend,model,dimension,likert,score_pomp
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,completeness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,relevance,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,accuracy,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,completeness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,relevance,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,completeness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,conciseness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,relevance,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,accuracy,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,completeness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,conciseness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,relevance,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,accuracy,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,completeness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,relevance,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,accuracy,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,completeness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,relevance,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,accuracy,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,completeness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,relevance,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,completeness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,relevance,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,completeness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,conciseness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,relevance,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,completeness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,conciseness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,relevance,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,accuracy,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,completeness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,relevance,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,completeness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,conciseness,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,relevance,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,accuracy,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,completeness,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,conciseness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,relevance,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,accuracy,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,completeness,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,relevance,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,A,GPT-4.1,accuracy,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,A,GPT-4.1,completeness,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,A,GPT-4.1,conciseness,4,75.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,A,GPT-4.1,relevance,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,B,Llama 4,accuracy,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,B,Llama 4,completeness,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,B,Llama 4,conciseness,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,B,Llama 4,relevance,5,100.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,C,SkimCap,accuracy,1,0.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,C,SkimCap,completeness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,C,SkimCap,conciseness,2,25.0
2,15/07/2026 10:53:22,"Sim, concordo em participar",Fluente/Nativo,10,-UwqKYkkKlU,-UwqKYkkKlU,C,SkimCap,relevance,2,25.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,A,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,A,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,A,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,A,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,B,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,B,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,B,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,B,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,C,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,C,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,C,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,1,eS1r2Qi0qUM,eS1r2Qi0qUM,C,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,A,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,A,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,A,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,A,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,B,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,B,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,B,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,B,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,C,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,C,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,C,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,2,UXi0Cy16-0Y,UXi0Cy16-0Y,C,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,A,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,A,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,A,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,A,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,B,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,B,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,B,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,B,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,C,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,C,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,C,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,3,VtIMPJjcdn4,VtIMPJjcdn4,C,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,A,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,A,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,A,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,A,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,B,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,B,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,B,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,B,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,C,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,C,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,C,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,4,rMZtiiLAqoY,rMZtiiLAqoY,C,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,A,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,A,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,A,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,A,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,B,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,5,bvnXdr-Hre4,bvnXdr-Hre4,C,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,A,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,B,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,C,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,A,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,B,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,7,7ZbH4vHTmVs,7ZbH4vHTmVs,C,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,A,Llama 4,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,B,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,8,rmoa-Ffel2k,rmoa-Ffel2k,C,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,A,SkimCap,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,completeness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,conciseness,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,B,GPT-4.1,relevance,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,accuracy,3,50.0
3,15/07/2026 11:10:31,"Sim, concordo em participar",Avançado,9,bXdq2zI1Ms0,bXdq2zI1Ms0,C,Llama 4,completeness,3,50.0
